,Index No.,Mech,CS,Fluid,Maths,Material,Electric,SGPA,Rank
149,210172N,A+,A,A+,B,A,A-,3.742857142857143,18.0
538,210594J,A,B+,A+,A-,A-,A,3.742857142857143,18.0
130,210150V,A,B,A+,A,A,A-,3.742857142857143,18.0
48,210052X,A+,A,A,B,A,A-,3.742857142857143,18.0
422,210467A,A-,A,A,B,A,A,3.742857142857143,18.0
114,210134C,A,A,A,B,A+,A-,3.742857142857143,18.0
18,210019E,A,A,A+,B,A,A-,3.742857142857143,18.0
598,210663V,A,A-,A+,B+,A,A-,3.742857142857143,18.0
443,210490L,A+,A,A-,B,A,A,3.742857142857143,18.0
148,210172N,A+,A,A+,B,A,A-,3.742857142857143,18.0
633,210705E,A,A-,A-,A-,A-,A-,3.742857142857143,18.0
224,210253N,A,A,A+,B,A,A-,3.742857142857143,18.0
532,210587P,A+,A-,A+,B+,A,A-,3.742857142857143,18.0
237,210267K,A,A,A+,B,A+,A-,3.742857142857143,18.0
158,210183A,A,A-,A-,B+,A,A,3.742857142857143,18.0
303,210341H,A,B+,A,A-,A,A-,3.742857142857143,18.0
524,210581R,A+,A-,A,B+,A,A-,3.742857142857143,18.0
35,210037G,A,A,A+,B,A,A-,3.742857142857143,18.0
62,210069F,A,A,A,B-,A,A,3.7214285714285715,19.0
610,210676M,A,A,A+,B-,A+,A+,3.7214285714285715,19.0
346,210385U,A+,A-,A,B,A,A,3.7214285714285715,19.0
196,210222U,A,A,A,B-,A,A,3.7214285714285715,19.0
97,210112H,A+,A,A+,B-,A,A+,3.7214285714285715,19.0
387,210429K,A+,A-,A+,B,A,A,3.7214285714285715,19.0
500,210552F,A+,A-,A+,B,A,A,3.7214285714285715,19.0
498,210549D,A,A,A+,B-,A,A,3.7214285714285715,19.0
470,210518H,A+,A-,A,B,A,A+,3.7214285714285715,19.0
636,210708P,A,A,A+,B+,B+,A-,3.707142857142857,20.0
590,210652L,A-,A,A+,B+,A+,B+,3.707142857142857,20.0
624,210695U,A,A-,A+,B+,A-,A-,3.6999999999999997,21.0
67,210079K,A,B+,A,B+,A,A,3.6999999999999997,21.0
257,210290A,A,B+,A+,B+,A,A,3.6999999999999997,21.0
222,210249H,A+,A-,A,B+,A-,A-,3.6999999999999997,21.0
316,210355E,A,B+,A-,A-,A+,A-,3.6999999999999997,21.0
221,210249H,A+,A-,A,B+,A-,A-,3.6999999999999997,21.0
453,210500V,A,B+,A,B+,A,A,3.6999999999999997,21.0
171,210197U,B+,A-,A-,A-,A+,A-,3.685714285714286,22.0
145,210169L,A+,A-,A+,B+,A+,B+,3.685714285714286,22.0
302,210340E,B+,A,A,B,A+,A,3.685714285714286,22.0
74,210087H,A+,A-,A+,A-,A-,B,3.685714285714286,22.0
28,210029J,A,A,A,B,A,B+,3.685714285714286,22.0
75,210087H,A+,A-,A+,A-,A-,B,3.685714285714286,22.0
252,210284J,A+,A-,B+,B+,A,A,3.685714285714286,22.0
154,210179R,A,A,A,B,A,B+,3.685714285714286,22.0
334,210373G,A,A,A,B,A,B+,3.685714285714286,22.0
54,210059B,A,A-,A+,B,A-,A,3.6785714285714284,23.0
291,210329E,A,A,A-,B-,A,A,3.6785714285714284,23.0
638,210711T,A+,A-,A+,B,A+,A-,3.6785714285714284,23.0
22,210023K,A+,A-,A+,B,A+,A-,3.6785714285714284,23.0
591,210654U,A,A-,A+,B,A-,A,3.6785714285714284,23.0
647,210726T,A,A-,A+,B,A,A-,3.6785714285714284,23.0
263,210296X,A+,A-,A+,B,A,A-,3.6785714285714284,23.0
131,210151B,A,A-,A,B,A,A-,3.6785714285714284,23.0
155,210180L,A+,A,A+,B-,A,A-,3.6785714285714284,23.0
27,210028F,A-,A-,A,B,A,A,3.6785714285714284,23.0
417,210462E,A-,A,A,B-,A,A,3.6785714285714284,23.0
418,210462E,A-,A,A,B-,A,A,3.6785714285714284,23.0
312,210350J,A,A,A-,B-,A,A,3.6785714285714284,23.0
53,210059B,A,A-,A+,B,A-,A,3.6785714285714284,23.0
304,210342L,A,A,A-,B+,A,B,3.664285714285714,24.0
228,210257F,A,A-,A,B-,A+,A+,3.6571428571428575,25.0
364,210407R,A,A-,A,B-,A,A,3.6571428571428575,25.0
547,210605X,A,A-,A+,B-,A,A,3.6571428571428575,25.0
194,210219R,A,A-,A,B-,A,A,3.6571428571428575,25.0
314,210353V,A,B+,A,B+,A-,A,3.657142857142857,26.0
393,210435B,A,B+,A,B+,A-,A,3.657142857142857,26.0
248,210280T,A-,B,A-,A,A,A-,3.657142857142857,26.0
454,210501B,A,B+,A,B+,A-,A,3.657142857142857,26.0
13,210013F,A+,B+,A+,B+,A,A-,3.657142857142857,26.0
511,210565X,A+,B+,A,B+,A-,A,3.657142857142857,26.0
533,210588U,B+,A,A,B+,B+,A,3.65,27.0
95,210109F,A-,A-,B+,B+,A,A,3.642857142857143,28.0
576,210639E,A,A-,A,B+,A,B,3.642857142857143,28.0
183,210209L,A,A-,A+,B+,A,B,3.642857142857143,28.0
139,210160C,A,A-,A,B+,A,B,3.642857142857143,28.0
73,210086E,A,A,A,B,B+,A-,3.642857142857143,28.0
394,210436E,A+,A,A,B,A+,B,3.642857142857143,28.0
55,210060U,A+,A,A+,B,A-,B+,3.642857142857143,28.0
380,210422H,A,A,B,B,A,A,3.642857142857143,28.0
164,210189X,A,A,A+,B,A-,B+,3.642857142857143,28.0
593,210656D,A,A,A-,B,B+,A+,3.642857142857143,28.0
616,210686T,A+,A,A,C+,A,A,3.6357142857142857,29.0
436,210483T,A,A-,A-,B,A,A-,3.6357142857142857,29.0
584,210647C,A,A+,A+,C+,A,A,3.6357142857142857,29.0
483,210535G,A-,A-,A+,B,A,A-,3.6357142857142857,29.0
356,210396E,A,B,A,B+,A+,A,3.6357142857142857,29.0
421,210466U,A+,A,A,C+,A+,A+,3.6357142857142857,29.0
509,210562K,A,B+,A,B,A+,A,3.6357142857142857,29.0
415,210460V,A+,A-,A-,B,A,A-,3.6357142857142857,29.0
288,210326R,A,A-,B+,A-,A-,B+,3.628571428571429,30.0
424,210470C,B+,A,A,B-,A,A,3.6214285714285714,31.0
600,210665E,A,A+,A+,B-,A,B+,3.6214285714285714,31.0
365,210408V,A,A-,A,B,A,B+,3.6214285714285714,31.0
212,210238A,B+,A-,A+,B,A,A,3.6214285714285714,31.0
146,210170G,A+,A-,A,B,A,B+,3.6214285714285714,31.0
655,210734P,A,A,A+,B-,A,B+,3.6214285714285714,31.0
651,210730B,A,A-,A,B,A,B+,3.6214285714285714,31.0
553,210613U,A-,A-,A,B-,A,A,3.6142857142857143,32.0
85,210098R,A+,A-,A+,B-,A+,A-,3.6142857142857143,32.0
534,210590T,A,A-,A,B-,A,A-,3.6142857142857143,32.0
399,210442T,A,B+,A,B+,A-,A-,3.614285714285714,33.0
325,210363C,B+,A,B,B+,A,A,3.607142857142857,34.0
4,210004E,B+,A,A,B+,A,B,3.607142857142857,34.0
656,210735U,A,A,B+,B+,A,B,3.607142857142857,34.0
369,210412D,A,B+,A,B+,A,B+,3.6,35.0
169,210195L,B,A,A-,B,A+,A+,3.6,35.0
52,210057R,A,A,A,C+,A+,A-,3.5928571428571425,36.0
370,210413G,A,A,A+,C+,A,A-,3.5928571428571425,36.0
476,210527J,A-,B,A-,A-,A-,A,3.5928571428571425,36.0
213,210240X,A,B+,A,B,A-,A,3.5928571428571425,36.0
437,210484X,A,B,A,B+,A,A-,3.5928571428571425,36.0
376,210419F,A+,A,A,C+,A,A-,3.5928571428571425,36.0
618,210688C,A-,A-,A-,B,A,A-,3.5928571428571425,36.0
410,210453D,A,A,A,C+,A+,A-,3.5928571428571425,36.0
220,210248E,A,B+,A,B,A,A-,3.5928571428571425,36.0
187,210213T,B+,A-,A+,B+,A,B+,3.585714285714286,37.0
236,210266G,A,A-,A,B,A,B,3.5785714285714287,38.0
573,210636R,B+,A-,A+,B,A-,A+,3.5785714285714287,38.0
344,210383L,A-,A-,A,B,A,B+,3.5785714285714287,38.0
89,210102D,A,A-,B+,B,A,A-,3.5785714285714287,38.0
265,210299J,A,A-,A-,B-,A-,A,3.5714285714285716,39.0
234,210264A,A,B,A,B,A,A,3.5714285714285716,39.0
629,210701M,A,B-,A,A-,A-,A-,3.5714285714285716,39.0
235,210265D,A,B+,A,B-,A,A,3.5714285714285716,39.0
138,210159G,A,A-,A,C+,A,A,3.5714285714285716,39.0
58,210065N,A,B+,A+,B-,A,A,3.5714285714285716,39.0
244,210275H,A,B+,A+,B-,A,A,3.5714285714285716,39.0
597,210661M,A-,A-,A+,B-,A,A-,3.5714285714285716,39.0
245,210275H,A,B+,A+,B-,A,A,3.5714285714285716,39.0
272,210307K,A-,A-,A,B-,A,A-,3.5714285714285716,39.0
529,210585H,B+,A-,A,B-,A,A,3.5571428571428574,40.0
96,210110B,B+,A-,A,B-,A,A,3.5571428571428574,40.0
101,210116A,A,A-,A,B-,A,B+,3.5571428571428574,40.0
634,210706H,A,B+,A-,B+,B+,A,3.557142857142857,41.0
514,210568J,A,A,B,B,A-,A-,3.557142857142857,41.0
406,210449V,A,B+,A,B+,A,B,3.557142857142857,41.0
327,210365J,B+,B+,A-,B+,A,A,3.557142857142857,41.0
628,210699K,B-,A-,A+,B+,A,A-,3.557142857142857,41.0
152,210176F,A-,A,A+,C+,A,A-,3.55,42.0
568,210631X,A,B+,A-,B,A,A-,3.55,42.0
485,210537N,A-,A,A-,C+,A,A,3.55,42.0
536,210592C,A-,A,A,C+,A,A-,3.55,42.0
143,210167E,A,A,A,B,A,C+,3.542857142857143,43.0
331,210369B,A-,A-,A+,A-,B+,B-,3.542857142857143,43.0
274,210309T,A,B+,B+,A-,A-,B+,3.542857142857143,43.0
472,210520G,B+,A,A-,B,A+,B+,3.542857142857143,43.0
517,210571L,B+,A,A-,B-,A,A-,3.5357142857142856,44.0
86,210099V,B+,A,A,B-,A-,A-,3.5357142857142856,44.0
413,210457T,B+,A,A,C+,A,A,3.5357142857142856,44.0
177,210203M,A,B,A,A-,A,B-,3.5357142857142856,44.0
98,210113L,A-,A-,A,C+,A,A+,3.5285714285714285,45.0
626,210697D,A+,A-,A,C+,A,A-,3.5285714285714285,45.0
396,210439P,A,B-,A,B+,A-,A,3.5285714285714285,45.0
61,210067X,A-,B,A+,B,A,A,3.5285714285714285,45.0
140,210163M,A,B,A,B,A,A-,3.5285714285714285,45.0
60,210067X,A-,B,A+,B,A,A,3.5285714285714285,45.0
609,210675J,A,A-,A+,B-,A-,B+,3.5142857142857147,46.0
654,210733L,A+,B,A+,B-,A,A,3.507142857142857,47.0
301,210339J,A,B,A,B-,A,A,3.507142857142857,47.0
662,210742M,A,B-,A,B,A,A,3.507142857142857,47.0
343,210382H,A-,B,A,B+,A-,A-,3.5071428571428567,48.0
297,210334N,A-,B+,A-,B,A-,A,3.5071428571428567,48.0
278,210314E,B+,A,A-,B,A+,B,3.5,49.0
447,210495G,B+,B+,A,B+,A,B+,3.5,49.0
295,210333K,A,A-,A-,B+,B+,B,3.5,49.0
296,210333K,A,A-,A-,B+,B+,B,3.5,49.0
448,210495G,B+,B+,A,B+,A,B+,3.5,49.0
535,210591X,A-,B,B,A-,A,A-,3.492857142857143,50.0
