Index_Number,CE1023,,CS1033,,EE1040,,MA1014,,ME1033,,MT1023,,SGPA,Rank,,,,,,,,,
,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,Grade,Grade Point,,,,,,,,,,,
210141U,A+,4,A,4,A+,4,,,,,A,4,4.0000,1,,,,,,,,,
210142A,A+,4,B-,2.7,B+,3.3,,,,,A,4,3.4111,483,,,,,,,,,
210143D,C+,2.3,C+,2.3,C+,2.3,,,,,A-,3.7,2.6111,681,,,,,,,,,
210144G,A-,3.7,A-,3.7,A-,3.7,,,,,A,4,3.7667,263,,,,,,,,,
210145K,A-,3.7,B+,3.3,C,2,,,,,A,4,3.2556,551,,,,,,,,,
210146N,A+,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210147T,C+,2.3,C+,2.3,C+,2.3,,,,,A,4,2.6778,672,,,,,,,,,
210148X,B-,2.7,B,3,B+,3.3,,,,,A,4,3.2222,558,,,,,,,,,
210149C,A,4,A,4,B+,3.3,,,,,A,4,3.8444,199,,,,,,,,,
210150V,A+,4,B,3,A-,3.7,,,,,A,4,3.6000,389,,,,,,,,,
210151B,A,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210152E,A+,4,A-,3.7,A-,3.7,,,,,A,4,3.8333,214,,,,,,,,,
210153H,A+,4,A,4,A,4,,,,,A+,4,4.0000,1,,,,,,,,,
210154L,A-,3.7,B,3,A-,3.7,,,,,A,4,3.5333,420,,,,,,,,,
210155P,F,0,F,0,F,0,,,,,F,0,0.0000,738,,,,,,,,,
210156U,A+,4,A,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210157A,A+,4,A+,4,A+,4,,,,,A+,4,4.0000,1,,,,,,,,,
210158D,B-,2.7,B,3,B+,3.3,,,,,B-,2.7,2.9333,630,,,,,,,,,
210159G,A,4,A-,3.7,A,4,,,,,A,4,3.9000,156,,,,,,,,,
210160C,A,4,A-,3.7,B,3,,,,,A,4,3.6778,341,,,,,,,,,
210161F,A,4,A,4,A,4,,,,,A,4,4.0000,1,,,,,,,,,
210162J,A-,3.7,B+,3.3,C+,2.3,,,,,B-,2.7,3.0333,614,,,,,,,,,
210163M,A,4,B,3,A-,3.7,,,,,A,4,3.6000,389,,,,,,,,,
210164R,A,4,B-,2.7,B,3,,,,,B+,3.3,3.1889,577,,,,,,,,,
